dutch,english
"de achterkant, de achterkanten",back side
"de arm, de armen",arm
"bestaan uit, bestond(en), hebben bestaan",to consist of
"de bil, de billen",buttock
"het deel, de delen",part
"de hals, de halzen",neck
"de hand, de handen",hand
"de kin, de kinnen",chin
"de knie, de knieën",knee
"het lijf, de lijven",body
"de mond, de monden",mouth
"de nek, de nekken",neck
"de neus, de neuzen",nose
onder andere,among other things
"het oog, de ogen",eye
"het oor, de oren",ear
"de rug, de ruggen",back
"de schouder, de schouders",shoulder
"de teen, de tenen",toe
"de vinger, de vingers",finger
"de wang, de wangen",cheek
