dutch,english
 allebei,both
"het appartement, de appartementen",apartment
"de badkamer, de badkamers",bathroom
de buren,neighbours
"de buurman, de buurmannen",neighbour (male)
"de buurvrouw, de buurvrouwen",neighbour (female)
"de flat, de flats",flat
"de garage, de garages",garage
"de keuken, de keukens",kitchen
"de rij, de rijen",row
"de ruimte, de ruimtes",room
"de schuur, de schuren",barn
"de slaapkamer, de slaapkamers",bedroom
"het toilet, de toiletten",toilet
"de tuin, de tuinen",garden
"de wc, de wc’s",lavatory
"de woonkamer, de woonkamers",living room
