dutch,english
"de afdeling, de afdelingen","department besturen, bestuurde(n), hebben"
bestuurd,to administer
"bouwen, bouwde(n), hebben gebouwd",to build
het buitenland,abroad
"de burgemeester, de burgemeesters",mayor
"de burger, de burgers",citizen
"het examen, de examens",test
"het legitimatiebewijs, de legitimatiebewijzen",identification card
"het loket, de loketten",counter
de persoonsgegevens,personal data
"het rijbewijs, de rijbewijzen","driving license slagen, slaagde(n), zijn"
geslaagd,to succeed
"het stadhuis, de stadhuizen",town hall van
tevoren,in advance
waarvoor,for which
"de zaal, de zalen",hall
