dutch,english
"autorijden, reed, reden, hebben/zijn gereden","to drive behandelen , behandelde(n), hebben"
behandeld,to treat
eerder,previously
"iets voorstellen, stelde(n) voor, hebben voorgesteld","to suggest something opereren, opereerde(n), hebben"
geopereerd,to operate
"opruimen, ruimde(n) op, hebben opgeruimd",to tidy up
"de patiënt, de patiënten",patient
"schreeuwen, schreeuwde(n), hebben geschreeuwd",to shout
"het strand, de stranden",beach
"thuiskomen, kwam(en) thuis, zijn thuisgekomen",to come home
"zullen, zou(den)",will
