dutch,english
komen,zijn gekomen
kopen,hebben gekocht
krijgen,hebben gekregen
kunnen,hebben gekund
lachen,hebben gelachen
laten,hebben gelaten
lesgeven,hebben lesgegeven
lezen,hebben gelezen
liggen,hebben gelegen
lopen,hebben / zijn gelopen
meenemen,hebben meegenomen
meten,hebben gemeten
nemen,hebben genomen
omgaan,zijn omgegaan
onthouden,hebben onthouden
ontvangen,hebben ontvangen
ophangen,hebben opgehangen
opnemen,hebben opgenomen
opstaan,zijn opgestaan
opzoeken,hebben opgezocht
