dutch,english
"aankomen, kwam(en) aan, zijn aangekomen",to arrive
"het cadeau, de cadeaus",gift
direct(e),direct
droog / droge,dry
"klagen, klaagde(n), hebben geklaagd",to complain
"meegaan, ging(en) mee, zijn meegegaan",to come
"het paard, de paarden",horse
"regenen, het regende, het heeft geregend","to rain samenwonen, woonde(n) samen, hebben samengewoond to cohabit"
de Sinterklaas,Sinterklaas
het snoep,candy
typisch(e),typical
"uitdelen, deelde(n) uit, hebben uitgedeeld",to distribute
warm(e),warm
wit(te),white
