dutch,english
"het cijfer, de cijfers",figure
 dertien,thirteen
 dertig,thirty
 elf,eleven
"de geboortedatum, de geboortedatums",date of birth
"het getal, de getallen",number
 honderd,hundred
"het huisnummer, de huisnummers",house number
 negentig,ninety
"de postcode, de postcodes",zip code
 tachtig,eighty
"het telefoonnummer, de telefoonnummers",telephone number
"het tiental, de tientallen",ten
 twaalf,twelve
 twintig,twenty
 veertien,fourteen
 veertig,forty
 vijftig,fifty
 zestig,sixty
 zeventig,seventy
