,dutch,english,chapter
0, ,,1.1 Woorden
1,"de baby, de baby’s",baby,
2, hij,he,
3, ik,I,
4, ja,yes,
5, jij,you,
6, jullie,you all,
7,"het kind, de kinderen",child,
8,"de naam, de namen",name,
9, nee,no,
10, wij,we,
11, zij (één),she,
12, zij (meer),they,
13, ,,1.2 Woorden
14, acht,eight,
15, drie,three,
16, één,one,
17, negen,nine,
18, nul,zero,
19,"het nummer, de nummers",number,
20, tien,ten,
21, twee,two,
22, vier,four,
23, vijf,five,
24, zes,six,
25, zeven,seven,
26, ,,1.3 Woorden
27,"de arm, de armen",arm,
28,"de auto, de auto’s",car,
29,"het been, de benen",leg,
30,"de boot, de boten",boat,
31,"de buik, de buiken",belly,
32,"de bus, de bussen",bus,
33,"de fiets, de fietsen",bicycle,
34,"de hand, de handen",hand,
35,"het lichaam, de lichamen",body,
36,"de rug, de ruggen",back,
37,"de trein, de treinen",train,
38,"de voet, de voeten",foot,
39, ,,1.4 Woorden
40, groot / grote,large,
41,het haar,hair,
42,"het hoofd, de hoofden",head,
43, kaal / kale,bald,
44, klein(e),small,
45,"de mond, de monden",mouth,
46,"de neus, de neuzen",nose,
47,"het oog, de ogen",eye,
48,"het oor, de oren",ear,
49, recht(e),straight,
50, rond(e),round,
51,"de tand, de tanden",tooth,
52, ,,1.5 Woorden
53,"de bal, de ballen",ball,
54,"de broek, de broeken",pants,
55,"de euro, de euro’s",euro,
56,"het gat, de gaten",hole,
57,het geld,money,
58,"de jas, de jassen",coat,
59,de kleren,clothes,
60,"het pak, de pakken",suit,
61,"de ring, de ringen",ring,
62,"de rok, de rokken",skirt,
63,"de tas, de tassen",bag,
64,"de trui, de truien",sweater,
65, ,,1.6 Woorden
66,"de gum, de gummen",eraser,
67,"het kruisje, de kruisjes",mark,
68,"de letter, de letters",letter,
69,"de lijn, de lijnen",line,
70,"de map, de mappen",folder,
71,"de pen, de pennen",pen,
72,"het plaatje, de plaatjes",picture,
73,"het potlood, de potloden",pencil,
74,"de punt, de punten",point,
75,"het rondje, de rondjes",circle,
76,"het woord, de woorden",word,
77,"de zin, de zinnen",sentence,
78, ,,1.7 Woorden
79,"het antwoord, de antwoorden",reply,
80,"het dak, de daken",roof,
81,"de deur, de deuren",door,
82,"het huis, de huizen",house,
83,"de kamer, de kamers",room,
84,"de muur, de muren",wall,
85,"het raam, de ramen",window,
86,"de straat, de straten",street,
87,"de streep, de strepen",stripe,
88,"de trap, de trappen",stairway,
89,"de tuin, de tuinen",garden,
90,"de vraag, de vragen",question,
91, ,,1.8 Woorden
92,"de bank, de banken",couch,
93,"het bed, de bedden",bed,
94,"het bot, de botten",bone,
95,"het dier, de dieren",animal,
96,"de hond, de honden",dog,
97,"de kat, de katten",cat,
98,"de klok, de klokken",clock,
99,"de koe, de koeien",cow,
100,"het mens, de mensen",human,
101,"de pot, de potten",pot,
102,"de stoel, de stoelen",chair,
103,"de tafel, de tafels",table,
105, ,,2.1 Woorden
106,"het boek, de boeken",book,
107,"de brief, de brieven",letter,
108,"de broer, de broers",brother,
109,"de computer, de computers",computer,
110,"de dochter, de dochters",daughter,
111,"de krant, de kranten",newspaper,
112,"de moeder, de moeders",mother,
113,"de puzzel, de puzzels",puzzle,
114,"de tv, de tv’s",TV,
115,"de vader, de vaders",father,
116,"de zoon, de zonen / zoons",son,
117,"de zus, de zussen",sister,
118, ,,2.2 Woorden
119,"het adres, de adressen",address,
120,"de agenda, de agenda’s",agenda,
121,"de avond, de avonden",evening,
122,"de dag, de dagen",day,
123,"de datum, de datums",date,
124, fout(e),wrong,
125, goed(e),correct,
126,"het jaar, de jaren",year,
127,"de maand, de maanden",month,
128,"de middag, de middagen",midday,
129,"de ochtend, de ochtenden",morning,
130,"de week, de weken",week,
131, ,,2.3 Woorden
132,"de banaan, de bananen",banana,
133,de boter,butter,
134,"het brood, de broden",bread,
135," drinken, dronk(en), hebben gedronken",to drink,
136," eten, at(en), hebben gegeten",to eat,
137,"het ijsje, de ijsjes",ice cream,
138,"de kool, de kolen",cabbage,
139,de pap,porridge,
140,de sla,lettuce,
141,"de soep, de soepen",soup,
142,"de tomaat, de tomaten",tomato,
144,"de ui, de uien",onion,
145, ,,2.4 Woorden
146,"de boer, de boeren",farmer,
147,"de dokter, de dokters",doctor,
148,"het feest, de feesten",feast,
149,"de jongen, de jongens",boy,
150,"de man, de mannen",man,
151,"de markt, de markten",market,
152,"het meisje, de meisjes",girl,
153,"de pil, de pillen",pill,
154,de post,post,
155,"de tandarts, de tandartsen",dentist,
156,"de vrouw, de vrouwen",woman,
157,"het ziekenhuis, de ziekenhuizen",hospital,
158, ,,2.5 Woorden
159,"het bad, de de baden",bath,
160, beneden,downstairs,
161, boven,upstairs,
162,"de douche, de douches",shower,
163, leeg / lege,empty,
164, min,minus,
165, plus,plus,
166, schoon / schone,clean,
167, veel,much,
168, vies / vieze,dirty,
169, vol(le),full,
170, weinig(e),little,
171, ,,2.6 Woorden
172,het goud,gold,
173,het hout,wood,
174,het ijs,ice,
175,"de lucht, de luchten",air,
176,de regen,rain,
177,"de steen, de stenen",stone,
178,"het vuur, de vuren",fire,
179,het water,water,
180,het weer,weather,
182,"de wind, de winden",wind,
183,"de wolk, de wolken",cloud,
184,het zand,sand,
185, ,,2.7 Woorden
186,"het blad, de bladeren",leaf,
187,"de bloem, de bloemen",flower,
188,"de boom, de bomen",tree,
189,"het bord, de borden",plate,
190, koud(e),cold,
191,"de lepel, de lepels",spoon,
192,"het mes, de messen",knife,
193,"de pan, de pannen",saucepan,
194,"het park, de parken",park,
195, ver(re),far,
196,"de vork, de vorken",fork,
197, warm(e),warm,
198, ,,3.1 Woorden
199, diep(e),deep,
200," hangen, hing(en), hebben gehangen",to hang,
201," helpen, hielp(en), hebben geholpen",to help,
202,de informatie,information,
203," kijken, keek, keken, hebben gekeken",to look,
204," lezen, las, lazen, hebben gelezen",to read,
205, licht(e),light,
206," luisteren, luisterde(n), hebben geluisterd",to listen,
207," praten, praatte(n), hebben gepraat",to talk,
208," schrijven, schreef, schreven, hebben geschreven",to write,
209," typen, typte(n), hebben getypt",to type,
210, zwaar / zware,heavy,
211, ,,3.2 Woorden
212, achter,behind,
213," bellen, belde(n), hebben gebeld",to dial,
214,"de groep, de groepen",group,
215, in,in,
216, naast,next,
217, onder,under,
218, op,on,
219, over,over,
220," rijden, reed, reden, hebben/zijn gereden",to drive,
221, tussen,between,
222, voor,in front of,
223," wonen, woonde(n), hebben gewoond",to reside,
224, ,,3.3 Woorden
225," betalen, betaalde(n), hebben betaald",to pay,
226,de boodschappen,groceries,
227, duur / dure,expensive,
228," horen, hoorde(n), hebben gehoord",to hear,
229," kopen, kocht(en), hebben gekocht",to buy,
230," kosten, kostte(n), hebben gekost",to cost,
231, lekker(e),tasty,
232,"de prijs, de prijzen",price,
233," verkopen, verkocht(en), hebben verkocht",to sell,
234,"de verkoper, de verkopers",vendor,
235,"de winkel, de winkels",shop,
236," zien, zag(en), heben gezien",to see,
237, ,,3.4 Woorden
238,"de baan, de banen",job,
239,"de baas, de bazen",boss,
240,"het bedrijf, de bedrijven",firm,
241, hallo,hello,
242," heten, heette(n), hebben geheten",to be named,
243, hoi,hi,
244, langzaam / langzame,slowly,
245, open,open,
246, snel(le),quickly,
247, tot ziens,goodbye,
248,het werk,work,
249," werken, werkte(n), hebben gewerkt",to work,
250, ,,3.5 Woorden
251, beter(e),better,
252," geven, gaf, gaven, hebben gegeven",to give,
253, jong(e),young,
254," krijgen, kreeg, kregen, hebben gekregen",to receive,
255," liggen, lag(en), hebben gelegen",to lie,
256," lopen, liep(en), hebben/zijn gelopen",to walk,
257, naar,at,
258, oud(e),old,
259,"de pijn, de pijnen",pain,
260," staan, stond(en), hebben gestaan",to stand,
261, ziek(e),ill,
262," zitten, zat(en), hebben gezeten",to sit,
263, ,,3.6 Woorden
264, ander(e),other,
265,het begin,beginning,
266, binnen,inside,
267, buiten,outside,
268,"de buurt, de buurten",neighbourhood,
269,het eind,end,
270, moe,tired,
271, nieuw(e),new,
272, oud(e),old,
273,"de plaats, de plaatsen",town,
274," slapen, sliep(en), hebben geslapen",to sleep,
275,"het voorbeeld, de voorbeelden",example,
276, ,,3.7 Woorden
277,"het aantal, de aantallen",number,
278, alleen,alone,
279, blij(e),happy,
280,"de foto, de foto’s",photo,
281," lachen, lachte(n), hebben gelachen",to laugh,
282, na,after,
283,"de stad, de steden",city,
284," wassen, waste(n), hebben gewassen",to wash,
285," weten, wist(en), hebben geweten",to know,
286, zoet(e),sweet,
287, zout(e),salt,
288, zuur / zure,sour,
289, ,,3.8 Woorden
290, dubbel(e),double,
291,"de juf, de juffen",teacher (female),
292,"de klas, de klassen",classroom,
293,"het land, de landen",country,
294,"de les, de lessen",lesson,
295,"de school, de scholen",school,
296,"het slot, de sloten",lock,
297,"de sport, de sporten",sport,
298,"de tent, de tenten",tent,
299,"de toets, de toetsen",key,
300," voetballen, voetbalde(n), hebben gevoetbald",to play soccer,
301,"de wereld, de werelden",world,
302, ,,4.1 Woorden
303," doen, deed, deden, hebben gedaan",to do,
304, laat / late,late,
305, makkelijk(e),easy,
306, moeilijk(e),difficult,
307, nu,now,
308, om,at,
309," spelen, speelde(n), hebben gespeeld",to play,
310," spreken, sprak(en), hebben gesproken",to speak,
311, tot,till,
312,"het uur, de uren",hour,
313, vroeg(e),early,
