dutch,english
"bedienen, bediende(n), hebben bediend",to serve
"borstelen, borstelde(n), hebben geborsteld",to brush
"de dierentuin, de dierentuinen",zoo
enzovoort,etc.
"het hok, de hokken",hutch
"de kinderboerderij, de kinderboerderijen",petting zoo
"de klant, de klanten",customer
"het konijn, de konijnen",rabbit
"de nagel, de nagels",nail
de omgeving,environment
op een rijtje zetten,to list
"de periode, de periodes / perioden",period
"de tafel dekken, dekte(n), hebben gedekt",to lay the table
"vakken vullen, vulde(n), hebben gevuld",to stock shelves
"de verzorger, de verzorgers",nurse
"voeren, voerde(n), hebben gevoerd",to feed
