,dutch,english,chapter
395, ,,1.1 Begrijpen wat je moet doen (1)
396," afmaken, maakte(n) af, hebben afgemaakt",to finish,
397," beantwoorden, beantwoordde(n), hebben",to answer,
398,"de betekenis, de betekenissen",meaning,
399,"de instructie, de instructies",instruction,
400,"de opdracht, de opdrachten",assignment,
401," opschrijven, schreef, schreven op, hebben",to write down,
402,"de tekst, de teksten",text,
403,"het thema, de thema’s",theme,
404,de uitleg,explanation,
406," vinden, vond(en), hebben gevonden",to find,
407, ,,1.2 Hallo!
408, dankjewel,thank you,
409, goedemiddag,good afternoon,
410, goedemorgen,good morning,
411, goedenavond,good evening,
412," groeten, groette(n), hebben gegroet",to greet,
413, hoi,hi,
414," kennen, kende(n), hebben gekend",to know,
415," ontmoeten, ontmoette(n), hebben ontmoet",to meet,
416," tegenkomen, kwam(en) tegen, zijn tegengekomen",to encounter,
417," voorstellen, stelde(n) voor, hebben voorgesteld",to introduce,
418,"de vriend, de vrienden",friend,
419," weggaan, ging(en) weg, zijn weggegaan",to go away,
420, ,,1.3 Wie ben je?
421, eenvoudig(e),simple,
422, gouden,golden,
423,de honger,hunger,
424, ingewikkeld(e),complicated,
425,"de meneer, de meneren",Mr.,
426,"de mevrouw, de mevrouwen",Mrs.,
427,"het plan, de plannen",plan,
428, schitterend(e),wonderful,
429," uitleggen, legde(n) uit, hebben uitgelegd",to explain,
430," vertellen, vertelde(n), hebben verteld",to tell,
431, vuil(e),dirt,
432,"het werkwoord, de werkwoorden",verb,
433, ,,1.4 Begrijpen wat je moet doen (2)
434," aankruisen, kruiste(n) aan, hebben aangekruist",to tick,
435," doorstrepen, streepte(n) door, hebben",to cross out,
436,"het haakje, de haakjes",parenthesis,
437," invullen, vulde(n) in, hebben ingevuld",to fill in,
438, juist(e),correct,
439," onderstrepen, onderstreepte(n), hebben",to underline,
440," typen, typte(n), hebben getypt",to type,
441, ,,1.5 Het alfabet
443,het alfabet,alphabet,
444, eerste,first,
445,"de enkel, de enkels",ankle,
446, extra,additional,
447,"de film, de films",movie,
448,"de groet, de groeten",greeting,
449,"de hoofdletter, de hoofdletters",capital,
450,"het hoofdstuk, de hoofdstukken",chapter,
451, laatste,last,
452,"de manier, de manieren",way,
453,het Nederlands,Dutch,
454,"de quiz, de quizzen",quiz,
455,"de tijd, de tijden",time,
456,"de vorm, de vormen",form,
457, ,,1.6 Korte en lange klinkers
458, allemaal,everyone,
459, beide(n),both,
460,"de klinker, de klinkers",vowel,
461," lijken op, leek, leken op, hebben geleken op",to resemble,
462,"de medeklinker, de medeklinkers",consonant,
463,"de paal, de palen",pole,
464,"de poot, de poten",leg,
465, sommige(n),some,
466," uitspreken, sprak(en) uit, hebben uitgesproken",to pronounce,
467,"het verschil, de verschillen",difference,
468, verschillend(e),different,
469,"de weg, de wegen",road,
470, ,,1.7 De agenda
471,"de afspraak, de afspraken",appointment,
472,"de dinsdag, de dinsdagen",Tuesday,
473,"de donderdag, de donderdagen",Thursday,
474,"de maandag, de maandagen",Monday,
475,"de verjaardag, de verjaardagen",birthday,
476,"de vrijdag, de vrijdagen",Friday,
477,"het weekend, de weekends",weekend,
478,"de woensdag, de woensdagen",Wednesday,
479,"de zaterdag, de zaterdagen",Saturday,
480,"de zondag, de zondagen",Sunday,
482, ,,1.8 De familie Mulder
483,"de familie, de families",family,
484, gezellig(e),cozy,
485,"het kleinkind, de kleinkinderen",grandchild,
486,"de neef, de neven",cousin,
487,"de nicht, de nichten",niece,
488,"de oma, de oma’s",granny,
489,"de oom, de ooms",uncle,
490,"de opa, de opa’s",grandpa,
491,"de ouder, de ouders",parent,
492,"de tante, de tantes",aunt,
493," trouwen, trouwde(n), zijn getrouwd",to marry,
494, ,,"1.9 De, het, een"
495, altijd,always,
496," opzoeken, zocht(en) op, hebben opgezocht",to seek,
497, precies,exactly,
498, sterk(e),strong,
499,"het woordenboek, de woordenboeken",dictionary,
500, ,,1.1 Kleuren
501, blauw(e),blue,
502, bruin(e),brown,
503, donker(e),dark,
504, geel / gele,yellow,
505, grijs / grijze,gray,
506, groen(e),green,
507,"de kleur, de kleuren",colour,
508, licht(e),light,
509, oranje,orange,
510, paars(e),violet,
511, rood / rode,red,
512, roze,pink,
