dutch,english
"de bladzijde, de bladzijden",page
"het bos, de bossen",forest
eng(e),scary
grappig(e),funny
het gras,grass
"klimmen, klom(men), hebben / zijn geklommen","to climb meedoen, deed, deden mee, hebben"
meegedaan,to participate
"het plein, de pleinen",square
"sporten, sportte(n), hebben gesport","to excercise springen, sprong(en), hebben / zijn"
gesprongen,to jump
"het tijdschrift, de tijdschriften","magazine trainen, trainde(n), hebben"
getraind,to train
"het veld, de velden",field
de vrije tijd,leisure time
