dutch,english
"de autoweg, de autowegen",freeway
" bereiken, bereikte(n), hebben bereikt",to reach
"het bord, de borden",road sign
"het dorp, de dorpen",village
"zich ergens aan houden, hield(en), hebben gehouden",to comply
"de fietser, de fietsers",cyclist
"het fietspad, de fietspaden",bicycle path
" gebeuren, gebeurde(n), zijn gebeurd",to happen
" mogen, mocht(en), hebben gemogen",to may
"het ongeluk, de ongelukken",accident
 per,per
"de snelweg, de snelwegen",highway
"de stad, de steden",city
 veilig(e),safe
" verbieden, verbood, verboden, hebben verboden",to prohibit
het verkeer,traffic
