dutch,english
de aandacht,attention
"de basis, de bases / basissen","base begeleiden, begeleidde(n), hebben"
begeleid,to give advice
de communicatie,communication
enthousiast(e),enthusiastic
ervaren,experienced
"de mogelijkheid, de mogelijkheden","possibility oprichten, richtte(n) op, hebben"
opgericht,to establish
"het pensioen, de pensioenen",pension
praktisch(e),practical
"samenwerken, werkte(n) samen, hebben samengewerkt",to collaborate
voordat,before
werkloos / werkloze,unemployed
