dutch,english
"bepalen, bepaalde(n), hebben bepaald",to determine
"beslissen, besliste(n), hebben beslist",to decide
de bevolking,population
"de gemeenteraad, de gemeenteraden",town council
"het lid, de leden",member
"de partij, de partijen",party
"de politicus, de politici",politician
de politiek,politics
"de regering, de regeringen",government
"de samenleving, de samenlevingen","society stemmen, stemde(n), hebben"
gestemd,to vote
"de televisie, de televisies",television
de Tweede Kamer,Parliament
"de verkiezing, de verkiezingen",election
"de wet, de wetten",law
"winnen, won(nen), hebben gewonnen",to win
