dutch,english
" beginnen, begon(nen), zijn begonnen",to begin
"de bon, de bonnen",coupon
 daarna,then
"de kassa, de kassa’s",cash register
"de korting, de kortingen",discount
 meteen,immediately
 natuurlijk,of course
"de pas, de passen",cash card
" pinnen, pinde(n), hebben gepind",to pay with a cash card
 sorry,excuse me
"de spaarkaart, de spaarkaarten",savings card
" sparen, spaarde(n), hebben gespaard",to save
"de verkoopster, de verkoopsters",saleswoman
" vinden, vond(en), hebben gevonden",to find
" vragen, vroeg(en), hebben gevraagd",to ask
"het zegeltje, de zegeltjes",stamp
