dutch,english
"het bericht, de berichten",message
beterschap,recovery
"eindigen, eindigde(n), hebben geëindigd",to finish
"een feest geven, gaf / gaven, hebben gegeven","to organise a party feliciteren, feliciteerde(n), hebben"
gefeliciteerd,to congratulate
"de geboorte, de geboorten",birth
gefeliciteerd,congratulations
"de gelegenheid, de gelegenheden",opportunity
"het huwelijk, de huwelijken",marriage
"jarig zijn, was / waren, zijn geweest",birthday
"de kaart, de kaarten",card
"overlijden, overleed, overleden, zijn overleden",to die
soms,sometimes
"terugsturen, stuurde(n) terug, hebben teruggestuurd",to return
"de uitnodiging, de uitnodigingen",invitation
