dutch,english
"de advocaat, de advocaten",lawyer
"de basisschool, de basisscholen",primary school
"het beroep, de beroepen",profession
het hbo,HBO
"de leraar, de leraren",teacher
"liggen aan, lag aan, heeft gelegen aan",to depend upon
het mbo,MBO
"de middelbare school, de middelbare scholen",secondary school
"de monteur, de monteurs",mechanic
"het niveau, de niveaus",level
"omgaan met, ging(en) om met, zijn omgegaan met",handle
"de puzzel, de puzzels",puzzle
"de toets, de toetsen",test
"de universiteit, de universiteiten",university
verplicht(e),required
