dutch,english
"de arts, de artsen",physician
"het bureau, de bureaus",office
het gedrag,behavior
"groeien, groeide(n), zijn gegroeid",to grow
"de leeftijd, de leeftijden",age
"meten, mat(en), hebben gemeten","to measure onderzoeken, onderzocht(en), hebben"
onderzocht,"to investigate ontwikkelen, ontwikkelde(n), hebben"
ontwikkeld,"to develop opletten, lette(n) op, hebben"
opgelet,to pay attention
"de prik, de prikken",injection
"uitkleden, kleedde(n) uit, hebben uitgekleed",to undress
"wegen, woog, wogen, hebben gewogen",to weigh
"de ziekte, de ziekten / ziektes",disease
