dutch,english
"de belasting, de belastingen",tax
de elektriciteit,electricity
het gas,gas
"de gemeente, de gemeentes",municipality
" huren, huurde(n), hebben gehuurd",to rent
"het huurhuis, de huurhuizen",rented house
"het inkomen, de inkomens",income
"zich inschrijven, schreef in, schreven in, hebben",to register
"de krant, de kranten",newspaper
" lenen, leende(n), hebben geleend",to loan
" reageren, reageerde(n), hebben gereageerd",to react
 sociaal / sociale,social
 speciaal / speciale,special
"de vereniging, de verenigingen",association
"de wachtlijst, de wachtlijsten",waiting-list
"de woning, de woningen",house
